action,uf,ug,u,ur,train_updates,train_valid,mean_train_reward
fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,32,32,17.587585270246993
fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,11,11,12.707371287464706
fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,4,4,12.904704118572884
fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,7,7,12.47178350434159
fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,2,2,12.592512038616814
fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,15,15,19.71288084177827
fp16_fp32_fp64_fp64,fp16,fp32,fp64,fp64,4,4,19.7140899500668
fp16_fp32_fp32_fp64,fp16,fp32,fp32,fp64,3,3,15.360301164812745
fp16_fp32_fp32_fp32,fp16,fp32,fp32,fp32,3,3,13.600098064956532
fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,2,2,11.475270786125748
fp16_fp16_fp32_fp64,fp16,fp16,fp32,fp64,4,4,11.338267349290692
fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,6,6,11.038416868006074
fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,3,0,-8.099384212468957
fp16_fp16_fp16_fp32,fp16,fp16,fp16,fp32,1,0,-8.85369370128001
fp16_fp16_fp16_fp16,fp16,fp16,fp16,fp16,3,0,-7.953391079017035
