step,file,target_cond,target_bucket,state_cond,state_bucket,bucket,state_idx,cond_bin,norm_bin,condition_log10,target_condition_log10,a_norm_log10,a_norm_inf,epsilon,action_index,selected_action,uf,ug,u,ur,reward,train_loss,accuracy_reward,precision_reward,iteration_penalty,speedup,memory_ratio,valid
1,train_000_n1496_k5.89e+02.bin,589.1606355259,1e2-1e3,629.2204579767,1e2-1e3,1e2-1e3,30,3,0,2.7988028344883658,2.77023372197067,0.0001270007519192098,1.0002924728,1.0,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,17.6052963308252,8.8026481654126,20.0,0.10529633082520147,5.0,1.0,1.0,1
2,train_001_n1166_k8.83e+05.bin,883352.8584935,1e5-1e6,897225.4101849,1e5-1e6,1e5-1e6,90,9,0,5.952901564673321,5.946134218736696,1.046910151724176e-07,1.00000024106,0.99,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-6.549030797371589,3.2745153986857947,-5.0,0.11193325007209183,3.321928094887362,1.6791735405831134,0.991412107970943,0
3,train_002_n1463_k1.20e+00.bin,1.20373378229,1e0-1e1,2.292252280229,1e0-1e1,1e0-1e1,9,0,9,0.3602624134183653,0.0805304489928956,0.15244326890142054,1.42050664254,0.98,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,-6.967666470182911,3.4838332350914554,-5.0,1.0969750382895729,6.129283016944966,1.9612806958885352,0.37373129408032585,0
4,train_003_n1168_k6.42e+04.bin,64242.18438621,1e4-1e5,66040.3591403,1e4-1e5,1e4-1e5,70,7,0,4.819809426374923,4.807820299561233,2.280409193227136e-06,1.00000525085,0.97,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,-8.243604334141757,4.121802167070879,-5.0,0.2563956658582431,7.0,1.2612691303830814,0.37340834064406925,0
5,train_004_n1051_k5.34e+02.bin,533.8090573921,1e2-1e3,555.4169557965,1e2-1e3,1e2-1e3,30,3,0,2.744619133780198,2.7273859383949843,0.00023123898713578605,1.00053258922,0.96,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,20.14049144591927,10.070245722959635,20.0,0.1404914459192686,0.0,1.883378148077409,0.7550556047222824,1
6,train_005_n1456_k2.26e+05.bin,226476.994003,1e5-1e6,230669.9427856,1e5-1e6,1e5-1e6,80,8,0,5.36299100790301,5.3550240920662775,6.076209846030389e-07,1.0000013991,0.95,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,17.56286351803785,8.781431759018925,20.0,0.06286351803785185,5.0,1.0,1.0,1
7,train_006_n1467_k7.95e+01.bin,79.52408458349,1e1-1e2,86.14487064651,1e1-1e2,1e1-1e2,20,2,0,1.9352294232090503,1.9004986785637188,0.0015948296762970367,1.00367898194,0.94,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-6.395819230002339,3.1979096150011697,-5.0,0.26514481744134133,3.321928094887362,1.7408630116923658,0.9931756602900705,0
8,train_007_n1109_k1.03e+04.bin,10291.97878604,1e4-1e5,10541.82785599,1e4-1e5,1e4-1e5,50,5,0,4.022915920074343,4.012498882365819,1.1752957099482937e-05,1.00002706255,0.9299999999999999,9,fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,-8.01491242204805,4.007456211024025,-5.0,0.2468685559804567,6.523561956057013,0.7233478355245846,0.6196372593058246,0
9,train_008_n1345_k2.65e+02.bin,265.0284519255,1e2-1e3,274.7512012859,1e2-1e3,1e2-1e3,30,3,0,2.4389395999515684,2.423292499789481,0.0004175280668984682,1.00096185619,0.92,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-6.43465566169123,3.217327830845615,-5.0,0.22630838575245052,3.321928094887362,1.6972612090940835,0.9925560557024109,0
10,train_009_n1362_k9.76e+03.bin,9759.800763568,1e3-1e4,10070.53705785,1e4-1e5,1e3-1e4,50,5,0,4.003052631928124,3.9894409520758938,1.63846619348528e-05,1.00003772779,0.91,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,-8.04499757212064,4.02249878606032,-5.0,0.298252691470969,6.6865005271832185,1.6268034055810194,0.3736365727640112,0
11,train_010_n1041_k1.75e+02.bin,174.5623880705,1e2-1e3,181.8952145308,1e2-1e3,1e2-1e3,30,3,0,2.2598212733889063,2.241950674575307,0.0010370650017088874,1.00239078379,0.9,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-6.422220630459922,1.6024463998071536,-5.0,0.23874341698375945,3.321928094887362,1.6631004032478687,0.9903798110266755,0
12,train_011_n1331_k1.45e+05.bin,144916.2534506,1e5-1e6,148062.0389019,1e5-1e6,1e5-1e6,70,7,0,5.170443725579395,5.161117097603989,8.527450638836948e-07,1.00000196352,0.89,4,fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,-6.514402816792146,3.257201408396073,-5.0,0.14656123065153465,3.321928094887362,1.7592704616465666,0.5000924146525341,0
13,train_012_n1167_k9.62e+02.bin,961.825734238,1e2-1e3,998.995347946,1e2-1e3,1e2-1e3,40,4,0,2.999563465837508,2.9830963927087226,0.00012566588018151495,1.00028939825,0.88,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,17.600010914545205,8.800005457272603,20.0,0.10001091454520528,5.0,1.0,1.0,1
14,train_013_n1453_k1.60e+04.bin,16030.27198957,1e4-1e5,16517.32508544,1e4-1e5,1e4-1e5,60,6,0,4.21793971642902,4.204940891198016,1.1447130751100213e-05,1.00002635834,0.87,2,fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,20.124986862341483,10.062493431170742,20.0,0.12498686234148443,0.0,1.915571274981145,0.7472754723022249,1
15,train_014_n1193_k5.15e+01.bin,51.49248012733,1e1-1e2,55.34118327471,1e1-1e2,1e1-1e2,20,2,0,1.7430484407496971,1.7117438100574562,0.0028730920897286766,1.00663747003,0.86,5,fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,19.79893748423046,9.89946874211523,20.0,0.29893748423045985,1.0,2.846617555948668,0.6316809232710535,1
16,train_015_n1120_k8.22e+04.bin,82158.18913225,1e4-1e5,83457.20541588,1e4-1e5,1e4-1e5,70,7,0,4.92146383816646,4.914650858309057,1.4145425962633488e-06,1.00000325711,0.85,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,-6.529533561530894,3.264766780765447,-5.0,0.13143048591278747,3.321928094887362,1.6935460002761293,0.9910590342271041,0
17,train_016_n1164_k2.41e+02.bin,241.4192174201,1e2-1e3,254.5302793782,1e2-1e3,1e2-1e3,30,3,0,2.405739454195972,2.38277183778833,0.0008322495749394081,1.00191816279,0.84,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,20.154470699710625,5.042112488375496,20.0,0.15447069971062655,0.0,1.8937822091276413,0.7545648998330551,1
