file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp32,fp32,fp32,not_converged,10,20,182.798157333,1.92544959136e-07,1.40751489581e-07,1.0002924728,13689128
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp32,fp32,fp32,not_converged,10,21,92.631331,1.63627395786e-07,2.1680738039e-08,1.00000024106,8361608
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp32,fp32,fp32,not_converged,10,20,175.742871667,2.07545637035e-07,2.01118770051e-07,1.42050664254,13097570
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp32,fp32,fp32,not_converged,10,20,91.8894163333,1.74465009909e-07,4.24326275073e-08,1.00000525085,8389960
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp32,fp32,fp32,not_converged,10,20,69.5215376667,1.89418456083e-07,1.57888523941e-07,1.00053258922,6812098
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp32,fp32,fp32,not_converged,10,20,168.752458,1.86380808666e-07,2.40967213808e-08,1.0000013991,12973768
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp32,fp32,fp32,not_converged,10,20,176.896564333,2.24843492878e-07,3.24875309293e-07,1.00367898194,13168578
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp32,fp32,fp32,not_converged,10,20,80.1677983333,1.77767292838e-07,5.6616130299e-08,1.00002706255,7573754
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp32,fp32,fp32,not_converged,10,20,139.659733,1.82223736387e-07,1.19578628329e-07,1.00096185619,11089210
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp32,fp32,fp32,not_converged,10,20,140.602171667,1.91103828442e-07,4.61453961869e-08,1.00003772779,11368248
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp32,fp32,fp32,not_converged,10,20,67.2153303333,1.5337227409e-07,1.26730935951e-07,1.00239078379,6684858
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp32,fp32,fp32,not_converged,10,20,132.254026333,1.79536171117e-07,4.67942987132e-08,1.00000196352,10862018
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp32,fp32,fp32,not_converged,10,20,92.5417613333,2.02690654559e-07,2.76471410558e-07,1.00028939825,8375778
