matrix_id,uf,ug,u,ur,condition_number,matrix_size
0,fp32,fp32,fp64,fp64,99.99999999999997,285
1,fp64,fp64,fp64,fp64,100000000.0104796,199
2,fp64,fp64,fp64,fp64,9999999.99726467,493
3,fp32,fp32,fp64,fp64,1000000.0000174983,337
4,fp64,fp64,fp64,fp64,999999.9999605591,410
5,fp64,fp64,fp64,fp64,1000000.0001572993,369
6,tf32,tf32,tf32,tf32,10.000000000000005,352
7,fp64,fp64,fp64,fp64,99999.99999947607,278
8,fp64,fp64,fp64,fp64,100000001.05969428,164
9,fp64,fp64,fp64,fp64,10.000000000000004,457
10,bf16,fp64,fp64,fp64,9.999999999999991,283
11,bf16,fp64,fp64,fp64,10.000000000000004,126
12,fp64,fp64,fp64,fp64,99999999.40089749,185
13,fp64,fp64,fp64,fp64,9999999.995619616,110
14,fp64,fp64,fp64,fp64,100000000.33283354,257
15,fp64,fp64,fp64,fp64,99999.999999847,281
16,fp32,fp32,fp64,fp64,100.00000000000064,305
17,fp64,fp64,fp64,fp64,100000000.27101651,213
18,tf32,tf32,tf32,tf32,10.000000000000002,350
19,fp64,fp64,fp64,fp64,100000000.75384386,334
20,fp64,fp64,fp64,fp64,10000.000000002286,104
21,fp64,fp64,fp64,fp64,100000000.65569015,180
22,fp32,fp32,fp64,fp64,99999.999999859,220
23,fp64,fp64,fp64,fp64,100000.00000022698,193
24,fp32,fp64,fp64,fp64,100000000.17569831,466
25,fp64,fp64,fp64,fp64,100.0000000000002,470
26,fp64,fp64,fp64,fp64,10000000.001467956,157
27,fp32,fp32,fp64,fp64,10000.000000003227,361
28,fp32,fp64,fp64,fp64,99999999.94928892,360
29,fp64,fp64,fp64,fp64,999.9999999999857,255
30,bf16,fp64,fp64,fp64,10.000000000000018,291
31,tf32,fp64,fp64,fp64,10000.000000001124,464
32,fp32,fp32,fp64,fp64,1000000.0001111892,326
33,bf16,fp64,fp64,fp64,1000.0000000000347,446
34,fp64,fp64,fp64,fp64,99999.99999959303,257
35,fp32,fp32,fp64,fp64,99.99999999999969,279
36,fp32,fp32,fp64,fp64,9999.99999999925,311
37,fp64,fp64,fp64,fp64,999999.9999323293,404
38,tf32,fp64,fp64,fp64,10000.000000001277,490
39,fp64,fp64,fp64,fp64,9.999999999999996,141
40,fp32,fp64,fp64,fp64,99999.9999997692,306
41,fp32,fp64,fp64,fp64,999999.9999763098,264
42,fp64,fp64,fp64,fp64,99999.99999945014,295
43,fp32,fp64,fp64,fp64,100000000.28276785,429
44,fp64,fp64,fp64,fp64,999999.9999425958,226
45,tf32,tf32,tf32,tf32,10.000000000000016,296
46,fp32,fp64,fp64,fp64,1000000.0000222865,174
47,fp32,fp64,fp64,fp64,100000.00000073152,327
48,fp32,fp64,fp64,fp64,100000.00000003264,320
