file,split,n,target_cond,uf,ug,u,ur,status,outer_iters,gmres_iterations,avg_ms,rel_error,backward_error,a_norm_inf,memory_bytes
train_000_n1496_k5.89e+02.bin,train,1496,589.160635526,fp16,fp16,fp32,fp32,ok,2,60,231.150018333,2.09898443222e-07,1.40751020622e-07,1.0002924728,13576564
train_001_n1166_k8.83e+05.bin,train,1166,883352.858493,fp16,fp16,fp32,fp32,ok,8,240,285.715364,6.86637136399e-07,2.27443384336e-08,1.00000024106,8273464
train_002_n1463_k1.20e+00.bin,train,1463,1.20373378229,fp16,fp16,fp32,fp32,ok,1,30,183.920544,5.96052685278e-07,6.99304892031e-07,1.42050664254,12987448
train_003_n1168_k6.42e+04.bin,train,1168,64242.1843862,fp16,fp16,fp32,fp32,ok,3,90,148.557205,2.17947531756e-07,3.50251088702e-08,1.00000525085,8301668
train_004_n1051_k5.34e+02.bin,train,1051,533.809057392,fp16,fp16,fp32,fp32,ok,1,30,77.3167386667,8.75631831153e-07,4.74058826133e-07,1.00053258922,6732464
train_005_n1456_k2.26e+05.bin,train,1456,226476.994003,fp16,fp16,fp32,fp32,ok,4,120,283.441803667,2.45742789045e-07,2.40967203574e-08,1.0000013991,12864164
train_006_n1467_k7.95e+01.bin,train,1467,79.5240845835,fp16,fp16,fp32,fp32,ok,1,30,183.999702667,8.24922497492e-07,6.346193701e-07,1.00367898194,13058160
train_007_n1109_k1.03e+04.bin,train,1109,10291.978786,fp16,fp16,fp32,fp32,ok,2,60,112.61136,4.21319007188e-07,5.74078829366e-08,1.00002706255,7489828
train_008_n1345_k2.65e+02.bin,train,1345,265.028451926,fp16,fp16,fp32,fp32,ok,2,60,180.238166,1.94023702736e-07,1.19577703262e-07,1.00096185619,10987820
train_009_n1362_k9.76e+03.bin,train,1362,9759.80076357,fp16,fp16,fp32,fp32,ok,2,60,185.548698333,3.17900288326e-07,5.05333884474e-08,1.00003772779,11265600
train_010_n1041_k1.75e+02.bin,train,1041,174.562388071,fp16,fp16,fp32,fp32,ok,2,60,96.3880833333,1.82443675671e-07,1.26730739827e-07,1.00239078379,6605964
train_011_n1331_k1.45e+05.bin,train,1331,144916.253451,fp16,fp16,fp32,fp32,ok,3,90,209.618133667,5.47786467614e-07,3.27022167441e-08,1.00000196352,10761664
train_012_n1167_k9.62e+02.bin,train,1167,961.825734238,fp16,fp16,fp32,fp32,ok,2,60,128.978836333,2.19857219105e-07,2.34514615976e-07,1.00028939825,8287560
train_013_n1453_k1.60e+04.bin,train,1453,16030.2719896,fp16,fp16,fp32,fp32,ok,2,60,217.583077,4.33834426975e-07,5.49798176945e-08,1.00002635834,12811508
train_014_n1193_k5.15e+01.bin,train,1193,51.4924801273,fp16,fp16,fp32,fp32,ok,1,30,107.834332,8.75312775183e-07,3.42045003418e-07,1.00663747003,8658268
train_015_n1120_k8.22e+04.bin,train,1120,82158.1891322,fp16,fp16,fp32,fp32,ok,3,90,135.121688,1.81981461408e-07,4.31142852173e-08,1.00000325711,7638020
train_016_n1164_k2.41e+02.bin,train,1164,241.41921742,fp16,fp16,fp32,fp32,ok,2,60,126.708670333,2.15603878372e-07,1.27038065777e-07,1.00191816279,8245308
train_017_n1362_k5.99e+03.bin,train,1362,5994.90361149,fp16,fp16,fp32,fp32,ok,2,60,185.014182,3.21237711432e-07,5.35724884219e-08,1.00004612996,11265600
train_018_n1245_k9.97e+00.bin,train,1245,9.9712089599,fp16,fp16,fp32,fp32,ok,2,60,149.767072667,2.29088667429e-07,1.52748907351e-07,1.02993293238,9424020
train_019_n1231_k3.26e+05.bin,train,1231,326255.828043,fp16,fp16,fp32,fp32,ok,5,150,231.299205333,8.86469585012e-07,2.86506256866e-08,1.00000125177,9214664
train_020_n1047_k4.18e+01.bin,train,1047,41.8212485998,fp16,fp16,fp32,fp32,ok,1,30,76.5132813333,6.30889123973e-07,5.01239963544e-07,1.00612504901,6681720
train_021_n1222_k3.40e+04.bin,train,1222,33986.2983302,fp16,fp16,fp32,fp32,ok,2,60,142.587670667,4.45425540659e-07,5.91210557797e-08,1.00000630063,9081320
train_022_n1180_k1.64e+02.bin,train,1180,163.915320188,fp16,fp16,fp32,fp32,ok,1,30,104.711776667,7.56241925742e-07,4.32821044616e-07,1.00190579682,8471900
train_023_n1355_k3.33e+04.bin,train,1355,33321.3296494,fp16,fp16,fp32,fp32,ok,3,90,216.705077,2.17747516177e-07,3.54481568845e-08,1.00000658316,11150800
train_024_n1362_k1.30e+01.bin,train,1362,12.9590528983,fp16,fp16,fp32,fp32,ok,2,60,184.235733667,1.97018320522e-07,1.29711964937e-07,1.02561748,11265600
train_025_n1487_k6.94e+05.bin,train,1487,694282.361531,fp16,fp16,fp32,fp32,ok,5,150,352.835119333,4.69127783104e-07,1.81307147156e-08,1.00000029596,13414600
train_026_n1010_k2.42e+02.bin,train,1010,242.281963241,fp16,fp16,fp32,fp32,ok,1,30,69.5512463333,7.16363958529e-07,4.01620150047e-07,1.00125236538,6221440
train_027_n1427_k5.10e+04.bin,train,1427,50967.9683153,fp16,fp16,fp32,fp32,ok,3,90,244.783008333,2.2026754361e-07,3.27568711377e-08,1.00001056732,12359680
train_028_n1296_k5.30e+00.bin,train,1296,5.29693048152,fp16,fp16,fp32,fp32,ok,1,30,132.377316333,8.41104235836e-07,8.68271251331e-07,1.07327356543,10206564
train_029_n1484_k2.59e+04.bin,train,1484,25901.2051887,fp16,fp16,fp32,fp32,ok,2,60,227.825535667,6.06738608408e-07,4.27888222931e-08,1.00001171509,13360828
train_030_n1039_k3.84e+01.bin,train,1039,38.3622147846,fp16,fp16,fp32,fp32,ok,1,11,60.638244,3.61219089939e-07,3.69674857786e-07,1.00572934488,6580808
train_031_n1209_k3.30e+03.bin,train,1209,3301.6017695,fp16,fp16,fp32,fp32,ok,2,60,139.076308333,2.07642580997e-07,4.70241725967e-08,1.00007018739,8890428
train_032_n1288_k7.83e+00.bin,train,1288,7.83398475063,fp16,fp16,fp32,fp32,ok,1,30,131.349951667,6.93824026489e-07,3.40550879355e-07,1.04532351418,10081748
train_033_n1434_k7.00e+03.bin,train,1434,6997.04938809,fp16,fp16,fp32,fp32,ok,2,60,211.094171667,3.17303306286e-07,4.56292681175e-08,1.00004170684,12480528
train_034_n1117_k9.39e+00.bin,train,1117,9.38756137919,fp16,fp16,fp32,fp32,ok,1,30,90.6890473333,7.17970408569e-07,5.25239493986e-07,1.01974573734,7597460
train_035_n1413_k1.58e+03.bin,train,1413,1580.00543338,fp16,fp16,fp32,fp32,ok,2,60,202.010852667,2.14707216257e-07,8.56953794341e-08,1.0002223453,12119748
