step,file,target_cond,target_bucket,state_cond,state_bucket,bucket,state_idx,cond_bin,norm_bin,condition_log10,target_condition_log10,a_norm_log10,a_norm_inf,epsilon,action_index,selected_action,uf,ug,u,ur,reward,train_loss,accuracy_reward,precision_reward,iteration_penalty,speedup,memory_ratio,valid
1,train_000_n1496_k5.89e+02.bin,589.1606355259,1e2-1e3,629.2204579766856,1e2-1e3,1e2-1e3,30,3,0,2.7988028344883555,2.77023372197067,0.0001270007519192098,1.0002924728,1.0,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.552963308252018,9.276481654126009,20.0,1.0529633082520176,5.0,1.0,1.0,1
2,train_001_n1166_k8.83e+05.bin,883352.8584935,1e5-1e6,897225.4101848849,1e5-1e6,1e5-1e6,90,9,0,5.952901564673314,5.946134218736696,1.046910151724176e-07,1.00000024106,0.99,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,13.739250934726286,6.869625467363143,15.119918434005367,1.1193325007209194,5.0,1.929409950451749,0.991412107970943,1
3,train_002_n1463_k1.20e+00.bin,1.20373378229,1e0-1e1,2.2922522802291896,1e0-1e1,1e0-1e1,9,0,9,0.3602624134184012,0.0805304489928956,0.15244326890142054,1.42050664254,0.98,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,20.896353869848056,10.448176934924028,12.380048784756873,10.969750382895441,4.906890595608519,2.7706239258785574,0.37373129408032585,1
4,train_003_n1168_k6.42e+04.bin,64242.18438621,1e4-1e5,66040.35914030366,1e4-1e5,1e4-1e5,70,7,0,4.819809426374947,4.807820299561233,2.280409193227136e-06,1.00000525085,0.97,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,13.435298661499571,6.7176493307497855,14.117268551081988,2.5639566585824207,6.491853096329675,1.6733396830736011,0.37340834064406925,1
5,train_004_n1051_k5.34e+02.bin,533.8090573921,1e2-1e3,555.4169557964927,1e2-1e3,1e2-1e3,30,3,0,2.7446191337801924,2.7273859383949843,0.00023123898713578605,1.00053258922,0.96,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,13.95072996675431,6.975364983377155,15.04581550756162,1.404914459192688,5.0,1.9290121875916806,0.7550556047222824,1
6,train_005_n1456_k2.26e+05.bin,226476.994003,1e5-1e6,230669.9427856266,1e5-1e6,1e5-1e6,80,8,0,5.3629910079030605,5.3550240920662775,6.076209846030389e-07,1.0000013991,0.95,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.128635180378513,9.064317590189257,20.0,0.6286351803785135,5.0,1.0,1.0,1
7,train_006_n1467_k7.95e+01.bin,79.52408458349,1e1-1e2,86.14487064650653,1e1-1e2,1e1-1e2,20,2,0,1.9352294232090328,1.9004986785637188,0.0015948296762970367,1.00367898194,0.94,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,14.546780196533266,7.273390098266633,14.395332022119838,2.6514481744134293,5.0,1.940719767703829,0.9931756602900705,1
8,train_007_n1109_k1.03e+04.bin,10291.97878604,1e4-1e5,10541.827855993268,1e4-1e5,1e4-1e5,50,5,0,4.022915920074478,4.012498882365819,1.1752957099482937e-05,1.00002706255,0.9299999999999999,9,fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,13.432187560126279,6.716093780063139,13.91694729812604,2.4686855598045003,5.906890595608519,1.0896898164065907,0.6196372593058246,1
9,train_008_n1345_k2.65e+02.bin,265.0284519255,1e2-1e3,274.75120128585274,1e2-1e3,1e2-1e3,30,3,0,2.438939599951494,2.423292499789481,0.0004175280668984682,1.00096185619,0.92,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,14.35066946045552,7.17533473022776,14.587585602930968,2.263083857524554,5.0,1.9006690567866034,0.9925560557024109,1
10,train_009_n1362_k9.76e+03.bin,9759.800763568,1e3-1e4,10070.537057854874,1e4-1e5,1e3-1e4,50,5,0,4.003052631928334,3.9894409520758938,1.63846619348528e-05,1.00003772779,0.91,11,fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,13.823212274859904,6.911606137429952,13.7941306579546,2.982526914709565,5.906890595608519,2.170291448826512,0.3736365727640112,1
11,train_010_n1041_k1.75e+02.bin,174.5623880705,1e2-1e3,181.8952145308208,1e2-1e3,1e2-1e3,30,3,0,2.259821273388956,2.241950674575307,0.0010370650017088874,1.00239078379,0.9,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,14.502919573500993,3.6637924216366162,14.615485403663435,2.387434169837558,5.0,1.9344892418588944,0.9903798110266755,1
12,train_011_n1331_k1.45e+05.bin,144916.2534506,1e5-1e6,148062.03890188495,1e5-1e6,1e5-1e6,70,7,0,5.170443725579352,5.161117097603989,8.527450638836948e-07,1.00000196352,0.89,4,fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,14.05784019780274,7.02892009890137,15.092227891287383,1.4656123065153568,5.0,1.9246931987241966,0.5000924146525341,1
13,train_012_n1167_k9.62e+02.bin,961.825734238,1e2-1e3,998.9953479459712,1e2-1e3,1e2-1e3,40,4,0,2.9995634658374954,2.9830963927087226,0.00012566588018151495,1.00028939825,0.88,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.500109145452058,9.250054572726029,20.0,1.0001091454520559,5.0,1.0,1.0,1
14,train_013_n1453_k1.60e+04.bin,16030.27198957,1e4-1e5,16517.32508544484,1e4-1e5,1e4-1e5,60,6,0,4.2179397164291474,4.204940891198016,1.1447130751100213e-05,1.00002635834,0.87,2,fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,13.994944732968868,6.997472366484434,15.245076109554056,1.2498686234148138,5.0,1.9256463799259842,0.7472754723022249,1
15,train_014_n1193_k5.15e+01.bin,51.49248012733,1e1-1e2,55.34118327470545,1e1-1e2,1e1-1e2,20,2,0,1.7430484407496614,1.7117438100574562,0.0028730920897286766,1.00663747003,0.86,5,fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,22.48937484230464,11.24468742115232,20.0,2.9893748423046373,1.0,3.162198947865268,0.6316809232710535,1
16,train_015_n1120_k8.22e+04.bin,82158.18913225,1e4-1e5,83457.20541587894,1e4-1e5,1e4-1e5,70,7,0,4.921463838166455,4.914650858309057,1.4145425962633488e-06,1.00000325711,0.85,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,13.924829136538321,6.9624145682691605,15.110524277410445,1.3143048591278759,5.0,1.9146307211241225,0.9910590342271041,1
17,train_016_n1164_k2.41e+02.bin,241.4192174201,1e2-1e3,254.5302793781843,1e2-1e3,1e2-1e3,30,3,0,2.4057394541959454,2.38277183778833,0.0008322495749394081,1.00191816279,0.84,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,14.609742420628745,1.885307634382185,14.824597358793838,2.285145061834906,5.0,1.9239351856045912,0.9913973375765164,1
18,train_017_n1362_k5.99e+03.bin,5994.903611494,1e3-1e4,6261.789252675165,1e3-1e4,1e3-1e4,50,5,0,3.7966984468739264,3.777782204727144,2.003352500915359e-05,1.00004612996,0.83,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,13.862203099780537,6.931101549890268,15.265434223545265,1.096768876235272,5.0,1.912900879360091,0.7539013341547925,1
19,train_018_n1245_k9.97e+00.bin,9.971208959897,1e0-1e1,11.896415280792484,1e1-1e2,1e0-1e1,10,1,0,1.0754161161568594,0.9987478175675523,0.01280894504923501,1.02993293238,0.8200000000000001,5,fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,23.451014900657274,11.725507450328637,20.0,3.9510149006572743,1.0,3.1869894344390377,0.6314019104963152,1
20,train_019_n1231_k3.26e+05.bin,326255.828043,1e5-1e6,336608.4486890874,1e5-1e6,1e5-1e6,80,8,0,5.527125012332027,5.5135582783978565,5.436364634012474e-07,1.00000125177,0.81,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.11282723901298,4.5242548244118606,20.0,0.6128272390129802,5.0,1.0,1.0,1
21,train_020_n1047_k4.18e+01.bin,41.82124859976,1e1-1e2,43.9372939361743,1e1-1e2,1e1-1e2,20,2,0,1.6428333055481432,1.6213969948109461,0.002651961554854314,1.00612504901,0.8,12,fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,-2.116070199231959,1.0580350996159795,-5.0,6.281137733943094,6.794415866350106,0.6782971770704092,0.740727409465935,0
22,train_021_n1222_k3.40e+04.bin,33986.29833018,1e4-1e5,34864.47235913672,1e4-1e5,1e4-1e5,60,6,0,4.542383096953834,4.531303865309114,2.7363202212332745e-06,1.00000630063,0.79,7,fp16_fp32_fp32_fp64,fp16,fp32,fp32,fp64,16.99462307677521,8.497311538387605,15.560123251902478,1.934499824872732,1.0,3.192820520943628,0.8689801683406083,1
23,train_022_n1180_k1.64e+02.bin,163.9153201881,1e2-1e3,176.18915718716025,1e2-1e3,1e2-1e3,30,3,0,2.2459791780903395,2.214619546384493,0.0008268893510448027,1.00190579682,0.78,14,fp16_fp16_fp16_fp16,fp16,fp16,fp16,fp16,-2.533393790456523,1.2666968952282616,-5.0,6.407927734224398,7.882643049361842,0.39822284095976074,0.25015603622156085,0
24,train_023_n1355_k3.33e+04.bin,33321.32964944,1e4-1e5,34330.59785887631,1e4-1e5,1e4-1e5,60,6,0,4.535681366622665,4.5227223231036895,2.859020650809023e-06,1.00000658316,0.77,8,fp16_fp32_fp32_fp32,fp16,fp32,fp32,fp32,15.810893358665751,7.905446679332876,14.146280205910754,2.1646131527549963,1.0,3.3222393485431483,0.37705154778730043,1
25,train_024_n1362_k1.30e+01.bin,12.95905289826,1e1-1e2,14.696474070322536,1e1-1e2,1e1-1e2,10,1,0,1.167213152742798,1.1125732626387683,0.010985414088598593,1.02561748,0.76,10,fp16_fp16_fp32_fp64,fp16,fp16,fp32,fp64,16.08852046008933,8.044260230044666,12.238538913179047,6.303426844714542,4.906890595608519,2.639663762376891,0.8661952828183692,1
26,train_025_n1487_k6.94e+05.bin,694282.3615309,1e5-1e6,709102.147057414,1e5-1e6,1e5-1e6,80,8,0,5.850708800356593,5.841536132004206,1.2853377587099094e-07,1.00000029596,0.75,13,fp16_fp16_fp16_fp32,fp16,fp16,fp16,fp32,-6.507252905568634,3.253626452784317,-5.0,2.607156439679307,8.228818690495881,0.417423965473478,0.49671662470156075,0
27,train_026_n1010_k2.42e+02.bin,242.2819632406,1e2-1e3,251.56081332375777,1e2-1e3,1e2-1e3,30,3,0,2.4006429901805717,2.384321084147219,0.0005435550800775516,1.00125236538,0.74,3,fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,14.506679348825667,0.8911222812895527,14.718109593598605,2.288569755227061,5.0,1.9538721598085336,0.990084234821058,1
28,train_027_n1427_k5.10e+04.bin,50967.96831531,1e4-1e5,52162.40682748535,1e4-1e5,1e4-1e5,70,7,0,4.717357621983458,4.707297322091049,4.589304516194486e-06,1.00001056732,0.73,0,fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,18.199623893495808,9.099811946747904,20.0,0.6996238934958078,5.0,1.0,1.0,1
29,train_028_n1296_k5.30e+00.bin,5.296930481518,1e0-1e1,6.3128436407683575,1e0-1e1,1e0-1e1,1,0,1,0.800225032667691,0.7240242731637943,0.030710432882998708,1.07327356543,0.72,12,fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,0.10666007594605098,0.05333003797302549,-5.0,9.221069421193992,8.228818690495881,0.3534066315245121,0.7425115116293369,0
30,train_029_n1484_k2.59e+04.bin,25901.20518867,1e4-1e5,26810.252287233558,1e4-1e5,1e4-1e5,60,6,0,4.428300900757884,4.413319972367419,5.087769140258899e-06,1.00001171509,0.71,1,fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,13.729687587018091,6.864843793509046,15.260531738549396,0.9691558484686955,5.0,1.9403187656307859,0.753580610279216,1
