action,uf,ug,u,ur,train_updates,train_valid,mean_train_reward
fp64_fp64_fp64_fp64,fp64,fp64,fp64,fp64,23,23,18.26404206058786
fp32_fp64_fp64_fp64,fp32,fp64,fp64,fp64,21,21,21.360500474239778
fp32_fp32_fp64_fp64,fp32,fp32,fp64,fp64,4,4,21.108280506467022
fp32_fp32_fp32_fp64,fp32,fp32,fp32,fp64,6,0,-4.656935161301795
fp32_fp32_fp32_fp32,fp32,fp32,fp32,fp32,2,0,-4.85736639282546
fp16_fp64_fp64_fp64,fp16,fp64,fp64,fp64,15,15,22.419029272461763
fp16_fp32_fp64_fp64,fp16,fp32,fp64,fp64,4,4,24.10632895853668
fp16_fp32_fp32_fp64,fp16,fp32,fp32,fp64,3,0,-3.776228906595531
fp16_fp32_fp32_fp32,fp16,fp32,fp32,fp32,3,0,-4.357980601809867
fp16_fp16_fp64_fp64,fp16,fp16,fp64,fp64,2,0,-5.937862496895751
fp16_fp16_fp32_fp64,fp16,fp16,fp32,fp64,4,0,-3.90093138401003
fp16_fp16_fp32_fp32,fp16,fp16,fp32,fp32,6,0,-2.9650286057052893
fp16_fp16_fp16_fp64,fp16,fp16,fp16,fp64,3,0,-2.0369255232476906
fp16_fp16_fp16_fp32,fp16,fp16,fp16,fp32,1,0,-6.507252905568631
fp16_fp16_fp16_fp16,fp16,fp16,fp16,fp16,3,0,-2.1571743473267024
