matrix_id,condition_number,kappa,matrix_size,grid_size,target_size,sparsity,nnz,pde_type,rhs_mode,cond_method,symmetric,eps,contrast,beta_x,beta_y
0,161.44763879758975,161.44763879758975,361,19,334,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
1,78.76998224097115,78.76998224097115,169,13,148,0.02776513427401,793,anisotropic_poisson_2d,smooth,auto,True,5.260090510098799e-07,,,
2,44604058558.17627,44604058558.17627,289,17,287,0.016486871565235,1377,high_contrast_diffusion_2d,smooth,auto,True,,242442051711.18585,,
3,38.20214675934705,38.20214675934705,400,20,372,0.012,1920,convection_diffusion_2d,smooth,auto,False,0.0015904480423,,9.10183182052571,6.937265007491241
4,232.7776262184061,232.7776262184061,529,23,487,0.0091230377249938,2553,poisson_2d,smooth,auto,True,,,,
5,103.08686891981824,103.08686891981824,225,15,215,0.021037037037037,1065,anisotropic_poisson_2d,smooth,auto,True,0.0005809411910125,,,
6,144553696117.35663,144553696117.35663,441,21,416,0.0109059496814598,2121,high_contrast_diffusion_2d,smooth,auto,True,,1040141993111.7584,,
7,24.78189872061477,24.78189872061477,196,14,192,0.0240524781341107,924,convection_diffusion_2d,smooth,auto,False,0.0224586647239156,,2.360775758844154,8.033624713303642
8,161.44763879758975,161.44763879758975,361,19,345,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
9,161.4476387975865,161.4476387975865,361,19,353,0.0132672401224668,1729,anisotropic_poisson_2d,smooth,auto,True,6.36340668278673e-08,,,
10,36810224234.83896,36810224234.83896,400,20,380,0.012,1920,high_contrast_diffusion_2d,smooth,auto,True,,148027176716.80896,,
11,34.46660443758948,34.46660443758948,529,23,485,0.0091230377249938,2553,convection_diffusion_2d,smooth,auto,False,0.0014896560827303,,-9.42530358961668,-1.5137527925766303
12,67.82742906960372,67.82742906960372,144,12,137,0.0324074074074074,672,poisson_2d,smooth,auto,True,,,,
13,116.4611915774872,116.4611915774872,256,16,233,0.0185546875,1216,anisotropic_poisson_2d,smooth,auto,True,8.738376722985288e-08,,,
14,35611243619.519714,35611243619.519714,361,19,353,0.0132672401224668,1729,high_contrast_diffusion_2d,smooth,auto,True,,237755827028.2291,,
15,53.45589695318159,53.45589695318159,441,21,420,0.0109059496814598,2121,convection_diffusion_2d,smooth,auto,False,0.063220225769957,,7.162281222914938,-6.096760559295314
16,161.44763879758975,161.44763879758975,361,19,348,0.0132672401224668,1729,poisson_2d,smooth,auto,True,,,,
17,178.0642746108591,178.0642746108591,400,20,373,0.012,1920,anisotropic_poisson_2d,smooth,auto,True,1.6723830668118853e-05,,,
18,27816351359.529697,27816351359.529697,441,21,425,0.0109059496814598,2121,high_contrast_diffusion_2d,smooth,auto,True,,143001982709.6208,,
19,57.73909027656294,57.73909027656294,529,23,497,0.0091230377249938,2553,convection_diffusion_2d,smooth,auto,False,0.0746275375728196,,9.152444580032231,3.7330398983980846
20,90.523130967774,90.523130967774,196,14,179,0.0240524781341107,924,poisson_2d,smooth,auto,True,,,,
21,90.52313096777452,90.52313096777452,196,14,184,0.0240524781341107,924,anisotropic_poisson_2d,smooth,auto,True,0.0003917942584025,,,
22,4057223146.175613,4057223146.175613,289,17,263,0.016486871565235,1377,high_contrast_diffusion_2d,smooth,auto,True,,23548964148.00841,,
23,79.68655355212893,79.68655355212893,400,20,377,0.012,1920,convection_diffusion_2d,smooth,auto,False,0.3181093538844867,,6.96753872858466,9.117079532596648
24,178.06427461086045,178.06427461086045,400,20,398,0.012,1920,poisson_2d,smooth,auto,True,,,,
25,161.44763879758807,161.44763879758807,361,19,351,0.0132672401224668,1729,anisotropic_poisson_2d,smooth,auto,True,0.0005239888192063,,,
26,116646306.97413166,116646306.97413166,144,12,125,0.0324074074074074,672,high_contrast_diffusion_2d,smooth,auto,True,,1312122651.1599808,,
27,35.26983974187346,35.26983974187346,289,17,282,0.016486871565235,1377,convection_diffusion_2d,smooth,auto,False,0.0297294711240236,,7.711264385146986,4.877493495974496
28,116.46119157748814,116.46119157748814,256,16,256,0.0185546875,1216,poisson_2d,smooth,auto,True,,,,
29,195.4914850025233,195.4914850025233,441,21,435,0.0109059496814598,2121,anisotropic_poisson_2d,smooth,auto,True,2.6773560019109504e-08,,,
30,32357361.918366097,32357361.918366097,324,18,310,0.0147462277091906,1548,high_contrast_diffusion_2d,smooth,auto,True,,211593366.95039427,,
31,37.98027122961962,37.98027122961962,324,18,320,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0350514987612974,,-7.92307599248524,-9.887867212158085
32,67.82742906960372,67.82742906960372,144,12,128,0.0324074074074074,672,poisson_2d,smooth,auto,True,,,,
33,130.64609564385952,130.64609564385952,289,17,285,0.016486871565235,1377,anisotropic_poisson_2d,smooth,auto,True,7.125614163913667e-08,,,
34,8256443.638090779,8256443.638090779,361,19,360,0.0132672401224668,1729,high_contrast_diffusion_2d,smooth,auto,True,,43217462.57452499,,
35,29.715784065508437,29.715784065508437,324,18,322,0.0147462277091906,1548,convection_diffusion_2d,smooth,auto,False,0.0084767127354392,,2.599444545264385,9.948064239552616
36,67.82742906960372,67.82742906960372,144,12,133,0.0324074074074074,672,poisson_2d,smooth,auto,True,,,,
37,213.7292691025103,213.7292691025103,484,22,477,0.0099549211119459,2332,anisotropic_poisson_2d,smooth,auto,True,1.2911287968085356e-07,,,
38,392251258.54197,392251258.54197,441,21,408,0.0109059496814598,2121,high_contrast_diffusion_2d,smooth,auto,True,,2727646948.1749287,,
